,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9915 (0.00025),0.9914 (0.00026),0.9902 (0.00073),0.9927 (0.00028),0.9829 (0.00050),0.9693 (0.00106),0.9693 (0.00104),0.9710 (0.00028),0.9677 (0.00179),0.9386 (0.00212),0.9684 (0.00012),0.9684 (0.00011),0.9676 (0.00173),0.9691 (0.00172),0.9368 (0.00025)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9852 (0.00068),0.9852 (0.00068),0.9848 (0.00103),0.9856 (0.00097),0.9704 (0.00137),0.9690 (0.00138),0.9691 (0.00136),0.9705 (0.00175),0.9676 (0.00226),0.9380 (0.00276),0.9674 (0.00072),0.9673 (0.00072),0.9665 (0.00133),0.9682 (0.00113),0.9347 (0.00143)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9915 (0.00025),0.9914 (0.00026),0.9902 (0.00073),0.9927 (0.00028),0.9829 (0.00050),0.9693 (0.00106),0.9693 (0.00104),0.9710 (0.00028),0.9677 (0.00179),0.9386 (0.00212),0.9684 (0.00012),0.9684 (0.00011),0.9676 (0.00173),0.9691 (0.00172),0.9368 (0.00025)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9853 (0.00068),0.9853 (0.00069),0.9849 (0.00125),0.9857 (0.00102),0.9706 (0.00137),0.9689 (0.00120),0.9689 (0.00118),0.9704 (0.00142),0.9674 (0.00196),0.9378 (0.00239),0.9676 (0.00059),0.9676 (0.00058),0.9663 (0.00144),0.9688 (0.00147),0.9352 (0.00117)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9915 (0.00025),0.9914 (0.00026),0.9902 (0.00073),0.9927 (0.00028),0.9829 (0.00050),0.9693 (0.00106),0.9693 (0.00104),0.9710 (0.00028),0.9677 (0.00179),0.9386 (0.00212),0.9684 (0.00012),0.9684 (0.00011),0.9676 (0.00173),0.9691 (0.00172),0.9368 (0.00025)
n_estimators100 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9852 (0.00076),0.9852 (0.00076),0.9848 (0.00126),0.9856 (0.00128),0.9704 (0.00153),0.9690 (0.00121),0.9691 (0.00120),0.9705 (0.00169),0.9676 (0.00200),0.9381 (0.00242),0.9677 (0.00070),0.9677 (0.00070),0.9668 (0.00130),0.9686 (0.00142),0.9354 (0.00140)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9709 (0.00083),0.9707 (0.00084),0.9636 (0.00112),0.9778 (0.00092),0.9419 (0.00165),0.9641 (0.00061),0.9639 (0.00065),0.9598 (0.00157),0.9681 (0.00044),0.9282 (0.00121),0.9621 (0.00064),0.9618 (0.00067),0.9527 (0.00120),0.9710 (0.00037),0.9244 (0.00127)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9706 (0.00086),0.9704 (0.00086),0.9651 (0.00106),0.9758 (0.00121),0.9412 (0.00173),0.9642 (0.00083),0.9641 (0.00084),0.9606 (0.00164),0.9675 (0.00166),0.9284 (0.00167),0.9629 (0.00128),0.9626 (0.00129),0.9543 (0.00184),0.9710 (0.00176),0.9259 (0.00255)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9708 (0.00099),0.9706 (0.00101),0.9633 (0.00146),0.9780 (0.00086),0.9418 (0.00197),0.9638 (0.00098),0.9636 (0.00100),0.9592 (0.00141),0.9681 (0.00085),0.9276 (0.00196),0.9624 (0.00039),0.9620 (0.00039),0.9526 (0.00064),0.9716 (0.00090),0.9249 (0.00079)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9706 (0.00100),0.9704 (0.00100),0.9649 (0.00131),0.9760 (0.00145),0.9412 (0.00200),0.9639 (0.00125),0.9638 (0.00126),0.9602 (0.00185),0.9674 (0.00132),0.9279 (0.00249),0.9630 (0.00102),0.9627 (0.00102),0.9546 (0.00192),0.9710 (0.00212),0.9262 (0.00205)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9709 (0.00105),0.9707 (0.00107),0.9638 (0.00143),0.9777 (0.00077),0.9420 (0.00210),0.9639 (0.00097),0.9637 (0.00100),0.9594 (0.00169),0.9681 (0.00095),0.9278 (0.00194),0.9627 (0.00039),0.9623 (0.00038),0.9531 (0.00037),0.9717 (0.00087),0.9255 (0.00080)
n_estimators100 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9705 (0.00101),0.9704 (0.00101),0.9648 (0.00119),0.9759 (0.00141),0.9411 (0.00202),0.9642 (0.00128),0.9641 (0.00129),0.9607 (0.00213),0.9674 (0.00183),0.9284 (0.00255),0.9630 (0.00103),0.9627 (0.00104),0.9545 (0.00176),0.9709 (0.00179),0.9261 (0.00206)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9706 (0.00104),0.9704 (0.00105),0.9633 (0.00146),0.9775 (0.00087),0.9413 (0.00206),0.9637 (0.00074),0.9635 (0.00077),0.9592 (0.00149),0.9679 (0.00054),0.9274 (0.00148),0.9624 (0.00051),0.9620 (0.00047),0.9523 (0.00084),0.9719 (0.00168),0.9249 (0.00106)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9705 (0.00099),0.9704 (0.00099),0.9651 (0.00115),0.9757 (0.00142),0.9411 (0.00199),0.9639 (0.00092),0.9638 (0.00094),0.9606 (0.00185),0.9670 (0.00127),0.9278 (0.00183),0.9627 (0.00113),0.9624 (0.00115),0.9540 (0.00202),0.9710 (0.00170),0.9256 (0.00225)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9706 (0.00104),0.9704 (0.00105),0.9633 (0.00146),0.9775 (0.00087),0.9413 (0.00206),0.9637 (0.00074),0.9635 (0.00077),0.9592 (0.00149),0.9679 (0.00054),0.9274 (0.00148),0.9624 (0.00051),0.9620 (0.00047),0.9523 (0.00084),0.9719 (0.00168),0.9249 (0.00106)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9703 (0.00090),0.9701 (0.00091),0.9646 (0.00135),0.9757 (0.00126),0.9406 (0.00180),0.9641 (0.00119),0.9640 (0.00121),0.9607 (0.00196),0.9674 (0.00136),0.9283 (0.00237),0.9630 (0.00110),0.9627 (0.00113),0.9545 (0.00204),0.9711 (0.00145),0.9262 (0.00220)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9706 (0.00115),0.9704 (0.00118),0.9636 (0.00170),0.9772 (0.00065),0.9413 (0.00229),0.9637 (0.00123),0.9635 (0.00126),0.9590 (0.00203),0.9681 (0.00097),0.9274 (0.00244),0.9628 (0.00062),0.9624 (0.00061),0.9534 (0.00014),0.9716 (0.00121),0.9257 (0.00127)
n_estimators100 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9703 (0.00105),0.9702 (0.00106),0.9646 (0.00164),0.9757 (0.00139),0.9407 (0.00209),0.9643 (0.00101),0.9642 (0.00103),0.9606 (0.00201),0.9677 (0.00140),0.9286 (0.00202),0.9630 (0.00116),0.9627 (0.00118),0.9545 (0.00200),0.9711 (0.00161),0.9261 (0.00231)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9706 (0.00127),0.9704 (0.00127),0.9641 (0.00110),0.9767 (0.00149),0.9412 (0.00254),0.9634 (0.00061),0.9633 (0.00063),0.9592 (0.00171),0.9673 (0.00141),0.9268 (0.00122),0.9623 (0.00056),0.9619 (0.00052),0.9533 (0.00086),0.9707 (0.00172),0.9247 (0.00115)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9699 (0.00103),0.9697 (0.00105),0.9645 (0.00154),0.9750 (0.00125),0.9398 (0.00206),0.9638 (0.00101),0.9636 (0.00103),0.9603 (0.00206),0.9670 (0.00156),0.9275 (0.00201),0.9627 (0.00107),0.9624 (0.00110),0.9543 (0.00207),0.9705 (0.00159),0.9255 (0.00213)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9706 (0.00127),0.9704 (0.00127),0.9641 (0.00110),0.9767 (0.00149),0.9412 (0.00254),0.9634 (0.00061),0.9633 (0.00063),0.9592 (0.00171),0.9673 (0.00141),0.9268 (0.00122),0.9623 (0.00056),0.9619 (0.00052),0.9533 (0.00086),0.9707 (0.00172),0.9247 (0.00115)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9697 (0.00090),0.9695 (0.00090),0.9639 (0.00114),0.9752 (0.00136),0.9395 (0.00181),0.9640 (0.00089),0.9639 (0.00088),0.9601 (0.00130),0.9678 (0.00160),0.9281 (0.00177),0.9628 (0.00128),0.9624 (0.00130),0.9540 (0.00203),0.9710 (0.00175),0.9257 (0.00255)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9706 (0.00127),0.9704 (0.00127),0.9641 (0.00110),0.9767 (0.00149),0.9412 (0.00254),0.9634 (0.00061),0.9633 (0.00063),0.9592 (0.00171),0.9673 (0.00141),0.9268 (0.00122),0.9623 (0.00056),0.9619 (0.00052),0.9533 (0.00086),0.9707 (0.00172),0.9247 (0.00115)
n_estimators100 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9697 (0.00101),0.9695 (0.00101),0.9638 (0.00138),0.9752 (0.00158),0.9394 (0.00202),0.9637 (0.00106),0.9636 (0.00108),0.9601 (0.00189),0.9671 (0.00142),0.9275 (0.00212),0.9627 (0.00130),0.9624 (0.00134),0.9543 (0.00226),0.9707 (0.00157),0.9256 (0.00259)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9900 (0.00063),0.9900 (0.00064),0.9860 (0.00106),0.9940 (0.00025),0.9801 (0.00126),0.9692 (0.00086),0.9692 (0.00084),0.9686 (0.00074),0.9697 (0.00137),0.9383 (0.00171),0.9676 (0.00007),0.9675 (0.00009),0.9642 (0.00106),0.9708 (0.00093),0.9352 (0.00013)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9876 (0.00065),0.9875 (0.00065),0.9838 (0.00095),0.9913 (0.00088),0.9752 (0.00130),0.9689 (0.00113),0.9689 (0.00112),0.9682 (0.00136),0.9695 (0.00213),0.9378 (0.00227),0.9671 (0.00087),0.9670 (0.00089),0.9634 (0.00190),0.9706 (0.00148),0.9342 (0.00173)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9899 (0.00014),0.9899 (0.00014),0.9861 (0.00037),0.9937 (0.00024),0.9799 (0.00028),0.9687 (0.00088),0.9687 (0.00086),0.9684 (0.00097),0.9690 (0.00169),0.9374 (0.00176),0.9678 (0.00062),0.9677 (0.00063),0.9643 (0.00147),0.9712 (0.00146),0.9357 (0.00125)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9872 (0.00067),0.9872 (0.00067),0.9837 (0.00092),0.9907 (0.00088),0.9745 (0.00134),0.9692 (0.00119),0.9692 (0.00116),0.9687 (0.00143),0.9696 (0.00227),0.9384 (0.00237),0.9669 (0.00051),0.9668 (0.00052),0.9639 (0.00152),0.9697 (0.00140),0.9338 (0.00103)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9897 (0.00035),0.9896 (0.00036),0.9861 (0.00085),0.9932 (0.00037),0.9794 (0.00070),0.9699 (0.00152),0.9699 (0.00151),0.9696 (0.00129),0.9702 (0.00208),0.9397 (0.00304),0.9677 (0.00031),0.9677 (0.00036),0.9654 (0.00217),0.9699 (0.00160),0.9355 (0.00060)
n_estimators100 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9865 (0.00066),0.9865 (0.00066),0.9834 (0.00089),0.9897 (0.00106),0.9731 (0.00131),0.9688 (0.00113),0.9688 (0.00113),0.9685 (0.00195),0.9692 (0.00190),0.9377 (0.00226),0.9674 (0.00090),0.9673 (0.00089),0.9641 (0.00137),0.9706 (0.00171),0.9348 (0.00180)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9895 (0.00039),0.9894 (0.00040),0.9859 (0.00092),0.9930 (0.00028),0.9790 (0.00078),0.9677 (0.00115),0.9677 (0.00113),0.9686 (0.00074),0.9668 (0.00167),0.9354 (0.00230),0.9674 (0.00051),0.9673 (0.00057),0.9641 (0.00232),0.9706 (0.00126),0.9349 (0.00099)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9857 (0.00082),0.9857 (0.00083),0.9829 (0.00121),0.9884 (0.00101),0.9714 (0.00164),0.9691 (0.00114),0.9691 (0.00113),0.9687 (0.00159),0.9694 (0.00186),0.9382 (0.00228),0.9671 (0.00089),0.9669 (0.00088),0.9638 (0.00167),0.9702 (0.00191),0.9341 (0.00179)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9895 (0.00039),0.9894 (0.00040),0.9859 (0.00092),0.9930 (0.00028),0.9790 (0.00078),0.9677 (0.00115),0.9677 (0.00113),0.9686 (0.00074),0.9668 (0.00167),0.9354 (0.00230),0.9674 (0.00051),0.9673 (0.00057),0.9641 (0.00232),0.9706 (0.00126),0.9349 (0.00099)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9859 (0.00077),0.9858 (0.00078),0.9829 (0.00126),0.9887 (0.00113),0.9717 (0.00155),0.9692 (0.00104),0.9692 (0.00104),0.9685 (0.00190),0.9699 (0.00187),0.9385 (0.00208),0.9671 (0.00089),0.9670 (0.00089),0.9636 (0.00161),0.9704 (0.00164),0.9343 (0.00178)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9886 (0.00061),0.9886 (0.00062),0.9852 (0.00110),0.9920 (0.00015),0.9773 (0.00122),0.9694 (0.00014),0.9694 (0.00010),0.9694 (0.00123),0.9694 (0.00141),0.9387 (0.00028),0.9679 (0.00024),0.9678 (0.00026),0.9648 (0.00122),0.9709 (0.00100),0.9359 (0.00048)
n_estimators100 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9853 (0.00077),0.9853 (0.00078),0.9827 (0.00124),0.9878 (0.00100),0.9706 (0.00154),0.9690 (0.00111),0.9690 (0.00110),0.9686 (0.00165),0.9693 (0.00207),0.9380 (0.00223),0.9669 (0.00093),0.9668 (0.00093),0.9636 (0.00189),0.9699 (0.00183),0.9338 (0.00185)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9860 (0.00077),0.9860 (0.00076),0.9840 (0.00037),0.9880 (0.00151),0.9721 (0.00155),0.9684 (0.00112),0.9684 (0.00105),0.9676 (0.00101),0.9691 (0.00311),0.9368 (0.00224),0.9670 (0.00044),0.9669 (0.00042),0.9638 (0.00123),0.9701 (0.00156),0.9341 (0.00089)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9819 (0.00100),0.9819 (0.00100),0.9806 (0.00136),0.9832 (0.00137),0.9638 (0.00200),0.9682 (0.00119),0.9682 (0.00119),0.9685 (0.00173),0.9679 (0.00189),0.9363 (0.00239),0.9667 (0.00082),0.9666 (0.00082),0.9640 (0.00165),0.9692 (0.00165),0.9334 (0.00164)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9860 (0.00077),0.9860 (0.00076),0.9840 (0.00037),0.9880 (0.00151),0.9721 (0.00155),0.9684 (0.00112),0.9684 (0.00105),0.9676 (0.00101),0.9691 (0.00311),0.9368 (0.00224),0.9670 (0.00044),0.9669 (0.00042),0.9638 (0.00123),0.9701 (0.00156),0.9341 (0.00089)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9820 (0.00095),0.9820 (0.00095),0.9806 (0.00126),0.9834 (0.00120),0.9640 (0.00189),0.9685 (0.00102),0.9685 (0.00102),0.9683 (0.00133),0.9687 (0.00132),0.9371 (0.00204),0.9667 (0.00106),0.9666 (0.00106),0.9639 (0.00179),0.9694 (0.00172),0.9334 (0.00212)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9860 (0.00077),0.9860 (0.00076),0.9840 (0.00037),0.9880 (0.00151),0.9721 (0.00155),0.9684 (0.00112),0.9684 (0.00105),0.9676 (0.00101),0.9691 (0.00311),0.9368 (0.00224),0.9670 (0.00044),0.9669 (0.00042),0.9638 (0.00123),0.9701 (0.00156),0.9341 (0.00089)
n_estimators100 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9818 (0.00108),0.9818 (0.00108),0.9804 (0.00123),0.9832 (0.00154),0.9636 (0.00216),0.9683 (0.00109),0.9683 (0.00109),0.9684 (0.00168),0.9683 (0.00168),0.9367 (0.00218),0.9668 (0.00084),0.9667 (0.00085),0.9639 (0.00191),0.9695 (0.00167),0.9337 (0.00168)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9973 (0.00007),0.9973 (0.00007),0.9957 (0.00037),0.9988 (0.00049),0.9945 (0.00014),0.9705 (0.00129),0.9705 (0.00125),0.9706 (0.00074),0.9704 (0.00259),0.9409 (0.00257),0.9693 (0.00024),0.9692 (0.00022),0.9677 (0.00074),0.9708 (0.00107),0.9386 (0.00049)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9955 (0.00045),0.9954 (0.00045),0.9929 (0.00052),0.9980 (0.00046),0.9909 (0.00090),0.9703 (0.00123),0.9704 (0.00119),0.9710 (0.00074),0.9698 (0.00261),0.9407 (0.00246),0.9692 (0.00036),0.9692 (0.00035),0.9675 (0.00115),0.9708 (0.00131),0.9385 (0.00073)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9972 (0.00000),0.9972 (0.00000),0.9956 (0.00037),0.9987 (0.00037),0.9943 (0.00000),0.9698 (0.00134),0.9698 (0.00131),0.9704 (0.00028),0.9692 (0.00238),0.9395 (0.00268),0.9694 (0.00051),0.9693 (0.00049),0.9677 (0.00061),0.9710 (0.00108),0.9387 (0.00102)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9951 (0.00053),0.9951 (0.00053),0.9927 (0.00043),0.9975 (0.00071),0.9902 (0.00106),0.9703 (0.00141),0.9703 (0.00137),0.9712 (0.00084),0.9694 (0.00276),0.9406 (0.00281),0.9693 (0.00030),0.9693 (0.00029),0.9678 (0.00125),0.9708 (0.00135),0.9387 (0.00060)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9965 (0.00019),0.9965 (0.00019),0.9947 (0.00014),0.9982 (0.00042),0.9929 (0.00037),0.9707 (0.00101),0.9707 (0.00097),0.9712 (0.00074),0.9702 (0.00243),0.9413 (0.00202),0.9695 (0.00014),0.9694 (0.00016),0.9681 (0.00088),0.9708 (0.00066),0.9389 (0.00028)
n_estimators2000 max_depth10 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9940 (0.00055),0.9940 (0.00055),0.9915 (0.00058),0.9965 (0.00056),0.9881 (0.00109),0.9705 (0.00132),0.9705 (0.00128),0.9715 (0.00098),0.9695 (0.00269),0.9410 (0.00263),0.9691 (0.00040),0.9691 (0.00039),0.9678 (0.00108),0.9704 (0.00125),0.9383 (0.00080)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9965 (0.00028),0.9965 (0.00028),0.9946 (0.00042),0.9983 (0.00051),0.9930 (0.00056),0.9700 (0.00134),0.9700 (0.00130),0.9710 (0.00056),0.9690 (0.00262),0.9399 (0.00268),0.9693 (0.00024),0.9692 (0.00022),0.9680 (0.00074),0.9705 (0.00107),0.9385 (0.00049)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9931 (0.00071),0.9931 (0.00071),0.9908 (0.00085),0.9954 (0.00061),0.9862 (0.00142),0.9700 (0.00139),0.9700 (0.00136),0.9708 (0.00106),0.9692 (0.00240),0.9400 (0.00277),0.9693 (0.00038),0.9692 (0.00038),0.9678 (0.00138),0.9706 (0.00124),0.9385 (0.00075)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9965 (0.00028),0.9965 (0.00028),0.9946 (0.00042),0.9983 (0.00051),0.9930 (0.00056),0.9700 (0.00134),0.9700 (0.00130),0.9710 (0.00056),0.9690 (0.00262),0.9399 (0.00268),0.9693 (0.00024),0.9692 (0.00022),0.9680 (0.00074),0.9705 (0.00107),0.9385 (0.00049)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9931 (0.00069),0.9931 (0.00069),0.9908 (0.00088),0.9953 (0.00055),0.9862 (0.00138),0.9699 (0.00113),0.9699 (0.00110),0.9709 (0.00106),0.9690 (0.00203),0.9398 (0.00225),0.9692 (0.00046),0.9692 (0.00045),0.9679 (0.00141),0.9704 (0.00149),0.9384 (0.00092)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9962 (0.00019),0.9962 (0.00019),0.9943 (0.00042),0.9980 (0.00061),0.9924 (0.00037),0.9704 (0.00162),0.9704 (0.00159),0.9710 (0.00056),0.9698 (0.00261),0.9407 (0.00324),0.9697 (0.00032),0.9697 (0.00028),0.9686 (0.00115),0.9708 (0.00171),0.9394 (0.00065)
n_estimators2000 max_depth10 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9924 (0.00043),0.9924 (0.00043),0.9902 (0.00080),0.9946 (0.00020),0.9848 (0.00085),0.9698 (0.00121),0.9699 (0.00118),0.9711 (0.00108),0.9686 (0.00214),0.9397 (0.00241),0.9692 (0.00038),0.9691 (0.00038),0.9679 (0.00122),0.9704 (0.00131),0.9384 (0.00077)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9924 (0.00012),0.9924 (0.00012),0.9909 (0.00051),0.9939 (0.00028),0.9848 (0.00024),0.9695 (0.00157),0.9695 (0.00154),0.9708 (0.00129),0.9683 (0.00259),0.9389 (0.00313),0.9689 (0.00039),0.9688 (0.00044),0.9675 (0.00193),0.9702 (0.00106),0.9378 (0.00078)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9854 (0.00067),0.9854 (0.00068),0.9850 (0.00110),0.9859 (0.00097),0.9708 (0.00135),0.9691 (0.00111),0.9691 (0.00111),0.9706 (0.00153),0.9677 (0.00156),0.9382 (0.00222),0.9683 (0.00041),0.9682 (0.00041),0.9673 (0.00159),0.9692 (0.00160),0.9365 (0.00082)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9924 (0.00012),0.9924 (0.00012),0.9909 (0.00051),0.9939 (0.00028),0.9848 (0.00024),0.9695 (0.00157),0.9695 (0.00154),0.9708 (0.00129),0.9683 (0.00259),0.9389 (0.00313),0.9689 (0.00039),0.9688 (0.00044),0.9675 (0.00193),0.9702 (0.00106),0.9378 (0.00078)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9855 (0.00068),0.9855 (0.00068),0.9850 (0.00104),0.9859 (0.00098),0.9709 (0.00136),0.9691 (0.00104),0.9691 (0.00104),0.9705 (0.00154),0.9677 (0.00148),0.9382 (0.00208),0.9683 (0.00040),0.9683 (0.00040),0.9674 (0.00164),0.9692 (0.00149),0.9367 (0.00079)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9924 (0.00012),0.9924 (0.00012),0.9909 (0.00051),0.9939 (0.00028),0.9848 (0.00024),0.9695 (0.00157),0.9695 (0.00154),0.9708 (0.00129),0.9683 (0.00259),0.9389 (0.00313),0.9689 (0.00039),0.9688 (0.00044),0.9675 (0.00193),0.9702 (0.00106),0.9378 (0.00078)
n_estimators2000 max_depth10 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9856 (0.00067),0.9855 (0.00067),0.9850 (0.00103),0.9861 (0.00091),0.9711 (0.00134),0.9691 (0.00112),0.9692 (0.00111),0.9705 (0.00141),0.9678 (0.00153),0.9383 (0.00223),0.9683 (0.00039),0.9683 (0.00040),0.9674 (0.00147),0.9692 (0.00132),0.9367 (0.00078)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9714 (0.00076),0.9712 (0.00077),0.9664 (0.00098),0.9761 (0.00062),0.9428 (0.00152),0.9641 (0.00078),0.9640 (0.00082),0.9608 (0.00184),0.9672 (0.00051),0.9282 (0.00155),0.9627 (0.00053),0.9624 (0.00053),0.9554 (0.00098),0.9696 (0.00121),0.9255 (0.00107)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9710 (0.00059),0.9709 (0.00060),0.9663 (0.00086),0.9755 (0.00052),0.9421 (0.00118),0.9646 (0.00069),0.9645 (0.00071),0.9613 (0.00136),0.9677 (0.00053),0.9292 (0.00137),0.9631 (0.00095),0.9628 (0.00097),0.9559 (0.00161),0.9698 (0.00095),0.9263 (0.00189)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9713 (0.00077),0.9712 (0.00078),0.9663 (0.00106),0.9761 (0.00052),0.9427 (0.00154),0.9637 (0.00061),0.9636 (0.00064),0.9606 (0.00169),0.9666 (0.00095),0.9274 (0.00122),0.9624 (0.00044),0.9621 (0.00044),0.9551 (0.00098),0.9693 (0.00098),0.9249 (0.00088)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9711 (0.00058),0.9709 (0.00059),0.9665 (0.00084),0.9754 (0.00051),0.9421 (0.00115),0.9644 (0.00068),0.9643 (0.00070),0.9613 (0.00140),0.9672 (0.00069),0.9288 (0.00135),0.9631 (0.00097),0.9628 (0.00098),0.9558 (0.00146),0.9698 (0.00115),0.9262 (0.00193)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9712 (0.00063),0.9711 (0.00065),0.9661 (0.00101),0.9761 (0.00038),0.9425 (0.00126),0.9640 (0.00061),0.9639 (0.00064),0.9606 (0.00169),0.9672 (0.00095),0.9280 (0.00121),0.9625 (0.00049),0.9622 (0.00051),0.9551 (0.00098),0.9694 (0.00071),0.9250 (0.00098)
n_estimators2000 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9710 (0.00064),0.9709 (0.00065),0.9664 (0.00089),0.9754 (0.00059),0.9421 (0.00127),0.9645 (0.00068),0.9644 (0.00069),0.9614 (0.00133),0.9674 (0.00077),0.9290 (0.00135),0.9632 (0.00097),0.9630 (0.00098),0.9560 (0.00139),0.9700 (0.00110),0.9265 (0.00193)
n_estimators2000 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9711 (0.00074),0.9709 (0.00075),0.9662 (0.00115),0.9757 (0.00051),0.9422 (0.00147),0.9638 (0.00051),0.9637 (0.00053),0.9608 (0.00184),0.9666 (0.00139),0.9276 (0.00100),0.9625 (0.00058),0.9622 (0.00057),0.9549 (0.00110),0.9697 (0.00131),0.9251 (0.00116)
