,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9741 (0.00201),0.9740 (0.00201),0.9711 (0.00214),0.9770 (0.00220),0.9482 (0.00401),0.9572 (0.00159),0.9574 (0.00147),0.9606 (0.00104),0.9542 (0.00395),0.9145 (0.00315),0.9569 (0.00105),0.9570 (0.00103),0.9586 (0.00091),0.9554 (0.00164),0.9139 (0.00211)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9710 (0.00124),0.9710 (0.00123),0.9701 (0.00211),0.9719 (0.00249),0.9420 (0.00248),0.9568 (0.00186),0.9570 (0.00183),0.9610 (0.00306),0.9530 (0.00341),0.9136 (0.00370),0.9563 (0.00112),0.9564 (0.00114),0.9587 (0.00288),0.9541 (0.00220),0.9126 (0.00223)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9746 (0.00132),0.9745 (0.00130),0.9715 (0.00090),0.9777 (0.00248),0.9493 (0.00266),0.9582 (0.00038),0.9584 (0.00033),0.9610 (0.00115),0.9557 (0.00160),0.9165 (0.00074),0.9566 (0.00086),0.9566 (0.00081),0.9580 (0.00062),0.9553 (0.00202),0.9132 (0.00172)
n_estimators20 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9705 (0.00148),0.9705 (0.00146),0.9699 (0.00260),0.9711 (0.00302),0.9410 (0.00295),0.9573 (0.00194),0.9575 (0.00189),0.9608 (0.00350),0.9542 (0.00411),0.9147 (0.00386),0.9564 (0.00117),0.9565 (0.00118),0.9585 (0.00297),0.9545 (0.00262),0.9127 (0.00234)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9746 (0.00133),0.9746 (0.00130),0.9729 (0.00071),0.9763 (0.00241),0.9493 (0.00266),0.9589 (0.00109),0.9590 (0.00102),0.9628 (0.00157),0.9552 (0.00280),0.9178 (0.00215),0.9576 (0.00093),0.9577 (0.00085),0.9596 (0.00193),0.9557 (0.00303),0.9152 (0.00184)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9702 (0.00107),0.9702 (0.00107),0.9697 (0.00207),0.9707 (0.00225),0.9405 (0.00214),0.9576 (0.00132),0.9578 (0.00127),0.9621 (0.00291),0.9536 (0.00361),0.9153 (0.00262),0.9565 (0.00120),0.9566 (0.00118),0.9590 (0.00230),0.9543 (0.00254),0.9131 (0.00239)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9746 (0.00133),0.9746 (0.00130),0.9729 (0.00071),0.9763 (0.00241),0.9493 (0.00266),0.9589 (0.00109),0.9590 (0.00102),0.9628 (0.00157),0.9552 (0.00280),0.9178 (0.00215),0.9576 (0.00093),0.9577 (0.00085),0.9596 (0.00193),0.9557 (0.00303),0.9152 (0.00184)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9702 (0.00136),0.9702 (0.00135),0.9698 (0.00206),0.9707 (0.00246),0.9405 (0.00272),0.9573 (0.00176),0.9575 (0.00176),0.9612 (0.00333),0.9538 (0.00316),0.9146 (0.00353),0.9560 (0.00100),0.9562 (0.00101),0.9587 (0.00258),0.9536 (0.00224),0.9121 (0.00201)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9744 (0.00099),0.9744 (0.00099),0.9726 (0.00076),0.9761 (0.00127),0.9488 (0.00198),0.9597 (0.00057),0.9599 (0.00061),0.9628 (0.00196),0.9569 (0.00100),0.9195 (0.00115),0.9574 (0.00137),0.9575 (0.00139),0.9597 (0.00183),0.9553 (0.00097),0.9148 (0.00275)
n_estimators20 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9700 (0.00142),0.9700 (0.00140),0.9691 (0.00220),0.9709 (0.00295),0.9400 (0.00284),0.9575 (0.00168),0.9576 (0.00164),0.9610 (0.00255),0.9543 (0.00326),0.9150 (0.00335),0.9561 (0.00144),0.9562 (0.00142),0.9580 (0.00267),0.9544 (0.00289),0.9122 (0.00288)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9724 (0.00041),0.9723 (0.00044),0.9704 (0.00185),0.9743 (0.00130),0.9448 (0.00082),0.9582 (0.00045),0.9583 (0.00042),0.9607 (0.00066),0.9560 (0.00124),0.9165 (0.00090),0.9571 (0.00110),0.9571 (0.00111),0.9578 (0.00263),0.9565 (0.00224),0.9142 (0.00219)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9683 (0.00117),0.9683 (0.00117),0.9684 (0.00212),0.9682 (0.00220),0.9366 (0.00234),0.9574 (0.00169),0.9576 (0.00164),0.9613 (0.00268),0.9539 (0.00362),0.9149 (0.00337),0.9563 (0.00095),0.9564 (0.00093),0.9587 (0.00211),0.9542 (0.00224),0.9127 (0.00189)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9724 (0.00041),0.9723 (0.00044),0.9704 (0.00185),0.9743 (0.00130),0.9448 (0.00082),0.9582 (0.00045),0.9583 (0.00042),0.9607 (0.00066),0.9560 (0.00124),0.9165 (0.00090),0.9571 (0.00110),0.9571 (0.00111),0.9578 (0.00263),0.9565 (0.00224),0.9142 (0.00219)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9682 (0.00152),0.9682 (0.00151),0.9685 (0.00235),0.9680 (0.00255),0.9365 (0.00303),0.9572 (0.00160),0.9573 (0.00155),0.9612 (0.00267),0.9535 (0.00343),0.9144 (0.00318),0.9561 (0.00109),0.9562 (0.00109),0.9583 (0.00253),0.9542 (0.00229),0.9123 (0.00217)
n_estimators20 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9724 (0.00041),0.9723 (0.00044),0.9704 (0.00185),0.9743 (0.00130),0.9448 (0.00082),0.9582 (0.00045),0.9583 (0.00042),0.9607 (0.00066),0.9560 (0.00124),0.9165 (0.00090),0.9571 (0.00110),0.9571 (0.00111),0.9578 (0.00263),0.9565 (0.00224),0.9142 (0.00219)
