,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9566 (0.00057),0.9565 (0.00055),0.9543 (0.00078),0.9588 (0.00124),0.9133 (0.00114),0.9529 (0.00170),0.9529 (0.00171),0.9522 (0.00213),0.9536 (0.00173),0.9058 (0.00340),0.9514 (0.00107),0.9513 (0.00114),0.9485 (0.00237),0.9540 (0.00023),0.9028 (0.00213)
n_estimators50 max_depth5 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9558 (0.00137),0.9556 (0.00144),0.9519 (0.00378),0.9594 (0.00224),0.9116 (0.00271),0.9531 (0.00192),0.9530 (0.00192),0.9513 (0.00358),0.9547 (0.00347),0.9062 (0.00384),0.9511 (0.00109),0.9509 (0.00118),0.9473 (0.00359),0.9546 (0.00215),0.9023 (0.00215)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9564 (0.00050),0.9563 (0.00051),0.9541 (0.00092),0.9585 (0.00072),0.9127 (0.00100),0.9536 (0.00223),0.9536 (0.00221),0.9527 (0.00181),0.9545 (0.00262),0.9073 (0.00446),0.9511 (0.00094),0.9509 (0.00101),0.9477 (0.00238),0.9542 (0.00053),0.9022 (0.00187)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9557 (0.00121),0.9555 (0.00126),0.9517 (0.00300),0.9594 (0.00190),0.9114 (0.00240),0.9530 (0.00154),0.9529 (0.00151),0.9510 (0.00289),0.9550 (0.00341),0.9061 (0.00308),0.9511 (0.00104),0.9509 (0.00108),0.9468 (0.00280),0.9550 (0.00205),0.9023 (0.00206)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9564 (0.00050),0.9563 (0.00051),0.9541 (0.00092),0.9585 (0.00072),0.9127 (0.00100),0.9536 (0.00223),0.9536 (0.00221),0.9527 (0.00181),0.9545 (0.00262),0.9073 (0.00446),0.9511 (0.00094),0.9509 (0.00101),0.9477 (0.00238),0.9542 (0.00053),0.9022 (0.00187)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9558 (0.00144),0.9556 (0.00153),0.9516 (0.00439),0.9597 (0.00271),0.9116 (0.00284),0.9531 (0.00181),0.9530 (0.00177),0.9510 (0.00384),0.9550 (0.00450),0.9063 (0.00363),0.9511 (0.00114),0.9509 (0.00127),0.9468 (0.00452),0.9550 (0.00280),0.9022 (0.00223)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9564 (0.00044),0.9563 (0.00042),0.9544 (0.00083),0.9583 (0.00118),0.9128 (0.00088),0.9532 (0.00195),0.9532 (0.00196),0.9528 (0.00227),0.9536 (0.00197),0.9065 (0.00390),0.9511 (0.00078),0.9509 (0.00084),0.9481 (0.00204),0.9538 (0.00040),0.9021 (0.00154)
n_estimators50 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9559 (0.00133),0.9558 (0.00139),0.9536 (0.00393),0.9581 (0.00278),0.9119 (0.00264),0.9528 (0.00198),0.9528 (0.00193),0.9523 (0.00338),0.9533 (0.00428),0.9057 (0.00396),0.9512 (0.00129),0.9511 (0.00136),0.9486 (0.00416),0.9536 (0.00311),0.9025 (0.00255)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9554 (0.00095),0.9552 (0.00100),0.9507 (0.00217),0.9597 (0.00091),0.9109 (0.00187),0.9526 (0.00219),0.9524 (0.00213),0.9495 (0.00088),0.9553 (0.00344),0.9051 (0.00438),0.9511 (0.00063),0.9508 (0.00070),0.9455 (0.00213),0.9561 (0.00115),0.9022 (0.00125)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9554 (0.00123),0.9553 (0.00135),0.9521 (0.00480),0.9585 (0.00312),0.9109 (0.00242),0.9524 (0.00166),0.9523 (0.00159),0.9508 (0.00447),0.9539 (0.00519),0.9048 (0.00332),0.9507 (0.00124),0.9505 (0.00136),0.9470 (0.00497),0.9540 (0.00350),0.9014 (0.00244)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9554 (0.00095),0.9552 (0.00100),0.9507 (0.00217),0.9597 (0.00091),0.9109 (0.00187),0.9526 (0.00219),0.9524 (0.00213),0.9495 (0.00088),0.9553 (0.00344),0.9051 (0.00438),0.9511 (0.00063),0.9508 (0.00070),0.9455 (0.00213),0.9561 (0.00115),0.9022 (0.00125)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9560 (0.00130),0.9559 (0.00141),0.9530 (0.00424),0.9588 (0.00249),0.9121 (0.00256),0.9528 (0.00142),0.9527 (0.00138),0.9520 (0.00336),0.9535 (0.00380),0.9056 (0.00283),0.9511 (0.00124),0.9510 (0.00137),0.9479 (0.00457),0.9540 (0.00269),0.9023 (0.00242)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9554 (0.00095),0.9552 (0.00100),0.9507 (0.00217),0.9597 (0.00091),0.9109 (0.00187),0.9526 (0.00219),0.9524 (0.00213),0.9495 (0.00088),0.9553 (0.00344),0.9051 (0.00438),0.9511 (0.00063),0.9508 (0.00070),0.9455 (0.00213),0.9561 (0.00115),0.9022 (0.00125)
n_estimators50 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9559 (0.00112),0.9558 (0.00117),0.9530 (0.00339),0.9586 (0.00235),0.9119 (0.00222),0.9531 (0.00161),0.9530 (0.00154),0.9520 (0.00240),0.9541 (0.00377),0.9061 (0.00323),0.9514 (0.00099),0.9512 (0.00104),0.9483 (0.00318),0.9541 (0.00253),0.9028 (0.00198)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapFalse,0.9760 (0.00067),0.9759 (0.00067),0.9736 (0.00109),0.9783 (0.00116),0.9520 (0.00134),0.9599 (0.00076),0.9601 (0.00063),0.9650 (0.00265),0.9553 (0.00385),0.9199 (0.00148),0.9584 (0.00073),0.9585 (0.00068),0.9616 (0.00062),0.9555 (0.00194),0.9168 (0.00146)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split2 bootstrapTrue,0.9727 (0.00081),0.9727 (0.00079),0.9721 (0.00157),0.9733 (0.00216),0.9454 (0.00163),0.9590 (0.00131),0.9592 (0.00129),0.9638 (0.00252),0.9547 (0.00266),0.9180 (0.00262),0.9584 (0.00075),0.9586 (0.00074),0.9615 (0.00207),0.9556 (0.00211),0.9169 (0.00150)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapFalse,0.9756 (0.00152),0.9756 (0.00153),0.9738 (0.00202),0.9774 (0.00105),0.9512 (0.00304),0.9598 (0.00116),0.9600 (0.00114),0.9638 (0.00087),0.9562 (0.00174),0.9197 (0.00232),0.9594 (0.00118),0.9595 (0.00121),0.9615 (0.00202),0.9575 (0.00054),0.9189 (0.00237)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split3 bootstrapTrue,0.9728 (0.00114),0.9728 (0.00112),0.9720 (0.00143),0.9735 (0.00217),0.9456 (0.00228),0.9594 (0.00122),0.9596 (0.00117),0.9636 (0.00271),0.9557 (0.00338),0.9189 (0.00243),0.9585 (0.00087),0.9586 (0.00086),0.9613 (0.00178),0.9559 (0.00188),0.9170 (0.00174)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapFalse,0.9751 (0.00025),0.9750 (0.00026),0.9733 (0.00050),0.9768 (0.00007),0.9502 (0.00050),0.9598 (0.00076),0.9600 (0.00086),0.9645 (0.00334),0.9555 (0.00158),0.9196 (0.00156),0.9588 (0.00066),0.9589 (0.00066),0.9621 (0.00065),0.9558 (0.00069),0.9176 (0.00133)
n_estimators50 max_depth8 min_samples_leaf1 min_samples_split5 bootstrapTrue,0.9724 (0.00099),0.9724 (0.00097),0.9720 (0.00134),0.9729 (0.00199),0.9449 (0.00198),0.9596 (0.00129),0.9598 (0.00127),0.9638 (0.00252),0.9558 (0.00284),0.9193 (0.00258),0.9585 (0.00082),0.9586 (0.00081),0.9613 (0.00180),0.9559 (0.00174),0.9169 (0.00163)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapFalse,0.9753 (0.00059),0.9752 (0.00056),0.9734 (0.00071),0.9771 (0.00184),0.9505 (0.00119),0.9603 (0.00164),0.9605 (0.00150),0.9631 (0.00233),0.9579 (0.00493),0.9207 (0.00324),0.9591 (0.00035),0.9592 (0.00035),0.9608 (0.00161),0.9577 (0.00148),0.9183 (0.00069)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split2 bootstrapTrue,0.9718 (0.00094),0.9718 (0.00093),0.9718 (0.00167),0.9719 (0.00206),0.9437 (0.00188),0.9593 (0.00131),0.9595 (0.00128),0.9638 (0.00257),0.9552 (0.00284),0.9186 (0.00260),0.9583 (0.00074),0.9585 (0.00074),0.9615 (0.00186),0.9555 (0.00169),0.9167 (0.00148)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9753 (0.00059),0.9752 (0.00056),0.9734 (0.00071),0.9771 (0.00184),0.9505 (0.00119),0.9603 (0.00164),0.9605 (0.00150),0.9631 (0.00233),0.9579 (0.00493),0.9207 (0.00324),0.9591 (0.00035),0.9592 (0.00035),0.9608 (0.00161),0.9577 (0.00148),0.9183 (0.00069)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9718 (0.00103),0.9718 (0.00101),0.9716 (0.00163),0.9719 (0.00228),0.9436 (0.00206),0.9593 (0.00132),0.9595 (0.00127),0.9636 (0.00257),0.9554 (0.00326),0.9186 (0.00262),0.9585 (0.00087),0.9586 (0.00085),0.9614 (0.00179),0.9558 (0.00203),0.9170 (0.00172)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9758 (0.00028),0.9758 (0.00026),0.9747 (0.00098),0.9768 (0.00144),0.9516 (0.00057),0.9610 (0.00066),0.9612 (0.00056),0.9651 (0.00213),0.9573 (0.00313),0.9221 (0.00128),0.9596 (0.00013),0.9597 (0.00019),0.9622 (0.00176),0.9573 (0.00137),0.9193 (0.00027)
n_estimators50 max_depth8 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9721 (0.00117),0.9721 (0.00116),0.9718 (0.00147),0.9725 (0.00190),0.9443 (0.00235),0.9595 (0.00133),0.9597 (0.00131),0.9636 (0.00251),0.9558 (0.00283),0.9191 (0.00266),0.9587 (0.00089),0.9588 (0.00090),0.9614 (0.00168),0.9562 (0.00150),0.9174 (0.00179)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9727 (0.00038),0.9727 (0.00038),0.9724 (0.00065),0.9731 (0.00087),0.9455 (0.00077),0.9588 (0.00083),0.9589 (0.00082),0.9631 (0.00104),0.9548 (0.00122),0.9175 (0.00167),0.9589 (0.00065),0.9590 (0.00063),0.9620 (0.00069),0.9561 (0.00117),0.9178 (0.00130)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9698 (0.00096),0.9698 (0.00095),0.9703 (0.00164),0.9693 (0.00195),0.9396 (0.00192),0.9593 (0.00111),0.9594 (0.00109),0.9633 (0.00302),0.9556 (0.00303),0.9186 (0.00220),0.9580 (0.00078),0.9582 (0.00076),0.9608 (0.00194),0.9555 (0.00200),0.9161 (0.00154)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9727 (0.00038),0.9727 (0.00038),0.9724 (0.00065),0.9731 (0.00087),0.9455 (0.00077),0.9588 (0.00083),0.9589 (0.00082),0.9631 (0.00104),0.9548 (0.00122),0.9175 (0.00167),0.9589 (0.00065),0.9590 (0.00063),0.9620 (0.00069),0.9561 (0.00117),0.9178 (0.00130)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9700 (0.00108),0.9700 (0.00107),0.9709 (0.00131),0.9691 (0.00173),0.9400 (0.00215),0.9595 (0.00121),0.9597 (0.00118),0.9640 (0.00228),0.9554 (0.00287),0.9190 (0.00241),0.9584 (0.00067),0.9585 (0.00065),0.9617 (0.00147),0.9553 (0.00166),0.9168 (0.00133)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9727 (0.00038),0.9727 (0.00038),0.9724 (0.00065),0.9731 (0.00087),0.9455 (0.00077),0.9588 (0.00083),0.9589 (0.00082),0.9631 (0.00104),0.9548 (0.00122),0.9175 (0.00167),0.9589 (0.00065),0.9590 (0.00063),0.9620 (0.00069),0.9561 (0.00117),0.9178 (0.00130)
n_estimators50 max_depth8 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9697 (0.00091),0.9697 (0.00090),0.9705 (0.00173),0.9689 (0.00196),0.9394 (0.00182),0.9590 (0.00136),0.9591 (0.00132),0.9635 (0.00288),0.9549 (0.00332),0.9180 (0.00271),0.9583 (0.00071),0.9584 (0.00070),0.9615 (0.00213),0.9554 (0.00207),0.9167 (0.00141)
