n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapFalse,0.9761 (0.00045),0.9760 (0.00046),0.9729 (0.00116),0.9792 (0.00062),0.9523 (0.00089),0.9711 (0.00116),0.9711 (0.00116),0.9703 (0.00137),0.9719 (0.00147),0.9422 (0.00233),0.9646 (0.00115),0.9644 (0.00114),0.9594 (0.00079),0.9694 (0.00166),0.9292 (0.00230)
n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split3 bootstrapTrue,0.9750 (0.00073),0.9749 (0.00075),0.9721 (0.00135),0.9778 (0.00074),0.9500 (0.00146),0.9710 (0.00144),0.9710 (0.00144),0.9692 (0.00194),0.9728 (0.00183),0.9421 (0.00288),0.9646 (0.00085),0.9645 (0.00085),0.9601 (0.00103),0.9689 (0.00136),0.9293 (0.00171)
n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapFalse,0.9761 (0.00039),0.9761 (0.00038),0.9732 (0.00083),0.9789 (0.00102),0.9523 (0.00078),0.9709 (0.00155),0.9709 (0.00156),0.9699 (0.00196),0.9719 (0.00149),0.9418 (0.00310),0.9646 (0.00120),0.9644 (0.00119),0.9594 (0.00091),0.9695 (0.00179),0.9293 (0.00241)
n_estimators1000 max_depth5 min_samples_leaf2 min_samples_split5 bootstrapTrue,0.9751 (0.00074),0.9750 (0.00076),0.9721 (0.00157),0.9779 (0.00064),0.9502 (0.00147),0.9710 (0.00134),0.9710 (0.00134),0.9693 (0.00156),0.9727 (0.00162),0.9421 (0.00267),0.9645 (0.00082),0.9644 (0.00080),0.9598 (0.00076),0.9690 (0.00151),0.9291 (0.00165)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapFalse,0.9755 (0.00013),0.9754 (0.00013),0.9728 (0.00068),0.9781 (0.00066),0.9510 (0.00026),0.9712 (0.00137),0.9712 (0.00140),0.9699 (0.00244),0.9725 (0.00105),0.9424 (0.00273),0.9651 (0.00137),0.9649 (0.00136),0.9598 (0.00113),0.9700 (0.00169),0.9302 (0.00274)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split2 bootstrapTrue,0.9748 (0.00079),0.9747 (0.00081),0.9718 (0.00158),0.9776 (0.00093),0.9495 (0.00158),0.9713 (0.00166),0.9712 (0.00166),0.9695 (0.00180),0.9730 (0.00205),0.9426 (0.00332),0.9646 (0.00106),0.9644 (0.00104),0.9597 (0.00076),0.9691 (0.00178),0.9292 (0.00213)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapFalse,0.9755 (0.00013),0.9754 (0.00013),0.9728 (0.00068),0.9781 (0.00066),0.9510 (0.00026),0.9712 (0.00137),0.9712 (0.00140),0.9699 (0.00244),0.9725 (0.00105),0.9424 (0.00273),0.9651 (0.00137),0.9649 (0.00136),0.9598 (0.00113),0.9700 (0.00169),0.9302 (0.00274)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split3 bootstrapTrue,0.9747 (0.00081),0.9746 (0.00083),0.9719 (0.00160),0.9774 (0.00083),0.9494 (0.00162),0.9712 (0.00141),0.9712 (0.00142),0.9695 (0.00202),0.9729 (0.00171),0.9425 (0.00281),0.9646 (0.00097),0.9645 (0.00096),0.9602 (0.00098),0.9688 (0.00161),0.9293 (0.00195)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapFalse,0.9755 (0.00013),0.9754 (0.00013),0.9728 (0.00068),0.9781 (0.00066),0.9510 (0.00026),0.9712 (0.00137),0.9712 (0.00140),0.9699 (0.00244),0.9725 (0.00105),0.9424 (0.00273),0.9651 (0.00137),0.9649 (0.00136),0.9598 (0.00113),0.9700 (0.00169),0.9302 (0.00274)
n_estimators1000 max_depth5 min_samples_leaf5 min_samples_split5 bootstrapTrue,0.9748 (0.00067),0.9747 (0.00068),0.9719 (0.00139),0.9776 (0.00089),0.9496 (0.00133),0.9712 (0.00137),0.9711 (0.00137),0.9691 (0.00175),0.9731 (0.00186),0.9423 (0.00274),0.9645 (0.00102),0.9643 (0.00100),0.9598 (0.00091),0.9689 (0.00177),0.9291 (0.00205)
